SYMBOL,SECURITY,HI_52_WK,LO_52_WK
ACC,ACC LIMITED,1736.4,1174
ADANIPORTS,ADANI PORT & SEZ LTD,324.7,169.15
AMBUJACEM,AMBUJA CEMENTS LTD,281.7,185
ASIANPAINT,ASIAN PAINTS LIMITED,1227.3,784.25
AUROPHARMA,AUROBINDO PHARMA LTD,895,582
AXISBANK,AXIS BANK LIMITED,638.3,366.75
BAJAJ-AUTO,BAJAJ AUTO LIMITED,3120,2171.95
BANKBARODA,BANK OF BARODA,182.5,109.35
BHARTIARTL,BHARTI AIRTEL LIMITED,385,282.3
BHEL,BHEL,219.7,90.15
BOSCHLTD,BOSCH LIMITED,25670.85,15736.05
BPCL,BHARAT PETROLEUM CORP  LT,1156,543.6
CIPLA,CIPLA LTD,704.9,457.45
COALINDIA,COAL INDIA LTD,349.95,271.65
DRREDDY,DR. REDDY'S LABORATORIES,4386.6,2750.05
EICHERMOT,EICHER MOTORS LTD,26641.3,14800
GAIL,GAIL (INDIA) LTD,448.95,276.15
GRASIM,GRASIM INDUSTRIES LTD,5361.05,967.15
HCLTECH,HCL TECHNOLOGIES LTD,889.9,706.4
HDFC,HDFC LTD,1464,1011.45
HDFCBANK,HDFC BANK LTD,1318.45,928
HEROMOTOCO,HERO MOTOCORP LIMITED,3740,2377.15
HINDALCO,HINDALCO  INDUSTRIES  LTD,164.7,58.8
HINDUNILVR,HINDUSTAN UNILEVER LTD.,954,766.4
ICICIBANK,ICICI BANK LTD.,289.9,180.75
IDEA,IDEA CELLULAR LIMITED,153.5,71.1
INDUSINDBK,INDUSIND BANK LIMITED,1256.05,799
INFRATEL,BHARTI INFRATEL LTD.,436.5,301.5
INFY,INFOSYS LIMITED,1279.3,996.25
ITC,ITC LTD,371.7,235.65
KOTAKBANK,KOTAK MAHINDRA BANK LTD,825.4,585.75
LT,LARSEN & TOUBRO LTD.,1615,1016.05
LUPIN,LUPIN LIMITED,2104,1280
M&M,MAHINDRA & MAHINDRA LTD,1508.95,1091.25
MARUTI,MARUTI SUZUKI INDIA LTD.,5767,3193.25
NTPC,NTPC LTD,170,116.9
ONGC,OIL AND NATURAL GAS CORP.,283.15,187.75
POWERGRID,POWER GRID CORP. LTD.,187.7,126.2
RELIANCE,RELIANCE INDUSTRIES LTD,1129.55,888.1
SBIN,STATE BANK OF INDIA,271.6,148.25
SUNPHARMA,SUN PHARMACEUTICALS IND.,913.1,704
TATAMOTORS,TATA MOTORS LIMITED,598.4,265.8
TATAMTRDVR,TATA MOTORS DVR 'A' ORD,378.15,210.1
TATAPOWER,TATA POWER CO LTD,84,55
TATASTEEL,TATA STEEL LIMITED,431.9,211.15
TCS,TATA CONSULTANCY SERV LT,2744.8,2115
TECHM,TECH MAHINDRA LIMITED,568.5,405.5
ULTRACEMCO,ULTRATECH CEMENT LIMITED,4129.7,2579
WIPRO,WIPRO LTD,607,470
YESBANK,YES BANK LIMITED,1449,631.55
ZEEL,ZEE ENTERTAINMENT ENT LTD,589.9,350.1
ABB,ABB INDIA LIMITED,1434,955.2
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,1544.9,1213
ASHOKLEY,ASHOK LEYLAND LTD,112.9,75.05
BAJAJFINSV,BAJAJ FINSERV LTD.,3445,1551.25
BAJFINANCE,BAJAJ FINANCE LIMITED,11770,1011.2
BEL,BHARAT ELECTRONICS LTD,1416.85,1008
BHARATFORG,BHARAT FORGE LTD,978,682
BRITANNIA,BRITANNIA INDUSTRIES LTD,3584.25,2505.05
CADILAHC,CADILA HEALTHCARE LIMITED,453.3,295
CAIRN,CAIRN INDIA LIMITED,236.6,106.5
CASTROLIND,CASTROL INDIA LIMITED,495.3,360.85
COLPAL,COLGATE PALMOLIVE LTD.,1033,787.2
CONCOR,CONTAINER CORP OF IND LTD,1540,1051
CUMMINSIND,CUMMINS INDIA LTD,1109.1,746.15
DABUR,DABUR INDIA LTD,320,231.5
DIVISLAB,DIVI'S LABORATORIES LTD,1381.6,917.8
DLF,DLF LIMITED,169.6,72.35
EMAMILTD,EMAMI LIMITED,1248,901
GLAXO,GLAXOSMITHKLINE PHARMA LT,3872,2752
GLENMARK,GLENMARK PHARMACEUTICALS,1047.95,671.1
GODREJCP,GODREJ CONSUMER PRODUCTS,1715,1118.8
GSKCONS,GLAXOSMITHKLINE CONSUMER,6800,5405
HINDPETRO,HINDUSTAN PETROLEUM CORP,1328,389.5
HINDZINC,HINDUSTAN ZINC LIMITED,262.5,135.8
IBULHSGFIN,INDIABULLS HSG FIN LTD,891,551.1
INDIGO,INTERGLOBE AVIATION LTD,1394.85,698.35
IOC,INDIAN OIL CORP LTD,666.6,317.4
JSWSTEEL,JSW STEEL LIMITED,1885.95,856.1
LICHSGFIN,LIC HOUSING FINANCE LTD,624.25,388.65
MARICO,MARICO LIMITED,468.6,207.3
MCDOWELL-N,UNITED SPIRITS LIMITED,3644.25,2118
MOTHERSUMI,MOTHERSON SUMI SYSTEMS LT,358.65,205.9
NHPC,NHPC LTD,28.3,17.15
NMDC,NMDC LTD.,126.45,75.15
OFSS,ORACLE FIN SERV SOFT LTD.,4070,3100
OIL,OIL INDIA LTD,449,300.35
PEL,PIRAMAL ENTERPRISES LTD,2097,832.25
PFC,POWER FIN CORP LTD.,256.75,112.2
PGHH,P&G HYGIENE & HEALTH CARE,7252,5178.65
PIDILITIND,PIDILITE INDUSTRIES LTD,769.3,520.3
PNB,PUNJAB NATIONAL BANK,150.55,69.25
SAIL,STEEL AUTHORITY OF INDIA,56.9,33.5
SHREECEM,SHREE CEMENTS LTD,18490,9399.95
SIEMENS,SIEMENS LTD,1396.4,968.6
SRTRANSFIN,SHRIRAM TRANSPORT FIN CO.,1324.4,736.95
TITAN,TITAN COMPANY LIMITED,444.5,301.7
TORNTPHARM,TORRENT PHARMACEUTICALS L,1769.5,1189
UBL,UNITED BREWERIES LTD,1014.95,690
UPL,UPL LIMITED,722.2,367.25
VEDL,VEDANTA LIMITED,208.55,58.15
 , , , 
 ,COMPULSORY ROLLING STOCKS, , 
20MICRONS,20 MICRONS LTD,45,25
3IINFOTECH,3I INFOTECH LTD.,7.1,3.55
3MINDIA,3M INDIA LIMITED,15250,9463.4
8KMILES,8K MILES SOFT SERV LTD,2550,754
A2ZINFRA,A2Z INFRA ENGINEERING LTD,46.1,16.5
AARTIDRUGS,AARTI DRUGS LTD.,686.45,431.6
AARTIIND,AARTI INDUSTRIES LTD,759.9,418.2
AARVEEDEN,AARVEE DEN. & EXP. LTD,106.4,45.85
ABAN,ABAN OFFSHORE LTD.,281.8,142.55
ABBOTINDIA,ABBOTT INDIA LIMITED,6042,4353.7
ABFRL,ADITYA BIRLA FASHION & RT,263.45,122.9
ABGSHIP,ABG SHIPYARD LTD,136.25,22.85
ABIRLANUVO,ADITYA BIRLA NUVO LIMITED,2366.25,684.3
ACCELYA,ACCELYA KALE SOLUTION LTD,1478,777.7
ACE,ACTION CONST EQUIP LTD,50.9,32.05
ADANIENT,ADANI ENTERPRISES LIMITED,98.2,58.2
ADANIPOWER,ADANI POWER LTD,36.1,22.45
ADANITRANS,ADANI TRANSMISSION LTD,45.15,26.3
ADFFOODS,ADF FOODS LIMITED,141.7,62.5
ADHUNIK,ADHUNIK METALIKS LTD.,18.75,5.7
ADHUNIKIND,ADHUNIK INDUSTRIES LTD,193.95,85.1
ADI,ADI FINECHEM LIMITED,510,170.1
ADLABS,ADLABS ENTERTAINMENT LTD.,145.8,68.2
ADORWELD,ADOR WELDING LTD,363.9,231
ADSL,ALLIED DIGITAL SERV. LTD,64.8,28
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,67.85,42.45
ADVENZYMES,ADVANCED ENZYME TECH LTD,2318.8,1168
AEGISCHEM,AEGIS LOGISTICS LIMITED,173.4,71.7
AFL,ACCEL FRONTLINE LTD,93.35,37.05
AGARIND,AGARWAL INDS CORP LTD.,297.3,108
AGCNET,AGC NETWORKS LIMITED,108,54.5
AGRITECH,AGRI-TECH (INDIA) LIMITED,46.6,5
AHLEAST,ASIAN HOTELS (EAST) LTD,230.05,121
AHLUCONT,AHLUWALIA CONT IND LTD,337.8,209.5
AHLWEST,ASIAN HOTELS (WEST) LTD,222,106.3
AIAENG,AIA ENGINEERING LIMITED,1357,701.9
AIFL,ASHAPURA INTI FASHION LTD,431.5,215.65
AJANTPHARM,AJANTA PHARMA LIMITED,2125,1101.05
AJMERA,AJMERA REALTY & INF I LTD,192.35,107.1
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,24.5,12.15
AKZOINDIA,AKZO NOBEL INDIA LIMITED,1745,1205
ALANKIT,ALANKIT LIMITED,163.9,46.25
ALBERTDAVD,ALBERT DAVID LIMITED,339,277.6
ALBK,ALLAHABAD BANK,88.4,39.4
ALCHEM,ALCHEMIST LTD,37.9,18.5
ALEMBICLTD,ALEMBIC LIMITED,52.2,32.1
ALICON,ALICON CASTALLOY LIMITED,435,236.7
ALKALI,ALKALI METALS LTD,108,34.9
ALKEM,ALKEM LABORATORIES LTD.,1856,1152.5
ALKYLAMINE,ALKYL AMINES CHEM. LTD,394,279
ALLCARGO,ALLCARGO LOGISTICS LTD,428.55,135.35
ALLSEC,ALLSEC TECHNOLOGIES LTD,321.35,66.65
ALMONDZ,ALMONDZ GLOBAL SEC LTD,16.1,8.3
ALOKTEXT,ALOK INDUSTRIES LTD,7.6,2.8
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,1147,380
ALPSINDUS,ALPS INDUSTRIES LTD,8.85,3.5
AMARAJABAT,AMARA RAJA BATTERIES LTD.,1079.7,774.15
AMBIKCO,AMBIKA COTTON MILL LTD.,962,740
AMDIND,AMD INDUSTRIES LIMITED,44.7,20.55
AMRUTANJAN,AMRUTAJAN HEALTH LTD,661.3,375.55
AMTEKAUTO,AMTEK AUTO LTD.,56.25,26.1
AMTL,ADV METERING TECH LTD,37.2,18.75
ANANDAMRUB,THE ANANDAM RUBBER CO LTD,38.2,11.5
ANANTRAJ,ANANT RAJ LIMITED,65.4,27.5
ANDHRABANK,ANDHRA BANK,71.1,41.8
ANDHRACEMT,ANDHRA CEMENTS LIMITED,11,5.25
ANDHRSUGAR,ANDHRA SUGARS LTD,274.8,100
ANGIND,ANG INDUSTRIES LIMITED,60.2,10
ANKITMETAL,ANKIT MET & POW LTD,3.25,1.4
ANSALAPI,ANSAL PROP & INFRA LTD,26.65,14.4
ANSALHSG,ANSAL HOU. & CON. LTD.,32.25,18
APARINDS,APAR INDUSTRIES LTD.,633.9,403.05
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,434,178
APLAPOLLO,APL APOLLO TUBES LTD,1010,495
APLLTD,ALEMBIC PHARMA LTD,730,512.5
APOLLOTYRE,APOLLO TYRES LTD,234.75,127.05
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,334.95,170
APTECHT,APTECH LIMITED,194.65,50.6
ARCHIDPLY,ARCHIDPLY IND. LTD,79.8,39.3
ARCHIES,ARCHIES LTD,34.3,18.85
ARCOTECH,ARCOTECH LIMITED,431.9,261
ARIES,ARIES AGRO LTD.,148.45,64.55
ARIHANT,ARIHANT FOUN & HOU LTD,69.95,30.5
ARMANFIN,ARMAN FIN SERV LTD,325,198.3
AROGRANITE,ARO GRANITE IND. LTD.,91.5,36.65
ARROWGREEN,ARROW GREENTECH LIMITED,864.4,380.05
ARROWTEX,ARROW TEXTILES LIMITED,59.5,24.25
ARSHIYA,ARSHIYA LIMITED,53.3,16
ARSSINFRA,ARSS INFRA PROJ. LTD,113.9,27
ARVIND,ARVIND LIMITED,368.9,235
ARVINFRA,ARVIND INFRASTRUCTURE LTD,131.6,59
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,208,135.35
ASAHISONG,ASAHI SONGWON COLOR LTD,260.8,108.55
ASAL,AUTOMOTIVE STAMPINGS & AS,71.25,31.4
ASHAPURMIN,ASHAPURA MINECHEM LTD,100.5,56
ASHIANA,ASHIANA HOUSING LTD,209,115.25
ASHIMASYN,ASHIMA LTD,21.85,9.5
ASHOKA,ASHOKA BUILDCON LTD,212.05,111.3
ASIANHOTNR,ASIAN HOTELS (NORTH) LTD,149.8,95.65
ASIANTILES,ASIAN GRANITO IND. LTD.,305,106.2
ASIL,AMIT SPINNING IND. LTD,1.45,0.5
ASSAMCO,ASSAM COMPANY INDIA LTD,8.15,3.05
ASTEC,ASTEC LIFESCIENCES LTD,488,170
ASTRAL,ASTRAL POLY TECH LTD,527.85,333.05
ASTRAMICRO,ASTRA MICROWAVE LTD,155.4,101.55
ASTRAZEN,ASTRAZENECA PHARMA IND LT,1350,919.55
ATFL,AGRO TECH FOODS LIMITED,610.9,444.4
ATLANTA,ATLANTA LIMITED,80.3,25.4
ATLASCYCLE,ATLAS CYCLE (HARYANA) LTD,444,161.9
ATUL,ATUL LTD,2492,1300
ATULAUTO,ATUL AUTO LIMITED,584.6,391
AURIONPRO,AURIONPRO SOLN LTD,240,103
AUSOMENT,AUSOM ENTERPRISE LIMITED,36,18
AUSTRAL,AUSTRAL COKE & PRO LTD,0.6,0.25
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,804.7,505.25
AUTOIND,AUTOLINE INDUSTRIES LTD,68.45,33.9
AUTOLITIND,AUTOLITE (INDIA) LIMITED,78.2,41.2
AVANTIFEED,AVANTI FEEDS LIMITED,3148,331.05
AVTNPL,AVT NATURAL PRODUCTS LTD,42.85,26.1
AXISCADES,AXISCADES ENGG TECH LTD,368.8,186
AYMSYNTEX,AYM SYNTEX LIMITED,163.15,72.15
BAFNAPHARM,BAFNA PHARMACEUTICALS L,52.4,25.5
BAGFILMS,B.A.G FILMS AND MEDIA LTD,7.3,2.35
BAJAJCORP,BAJAJ CORP LIMITED,473.1,356.05
BAJAJELEC,BAJAJ ELECT.LTD,282,155
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,24.2,12
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,2241.95,1310
BALAJITELE,BALAJI TELEFILMS LIMITED.,149.9,83.3
BALAMINES,BALAJI AMINES LIMITED,374.9,114
BALKRISHNA,BALKRISHNA PAPER MILLS L,119.75,26.8
BALKRISIND,BALKRISHNA IND. LTD,1204.8,549.05
BALLARPUR,BALLARPUR INDUSTRIES LTD,21.8,11.75
BALMLAWRIE,BALMER LAWRIE & CO LTD,747.2,490.75
BALPHARMA,BAL PHARMA LTD.,167.9,72.65
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,138,54.75
BANARBEADS,BANARAS BEADS LTD,65.8,30.55
BANARISUG,BANNARI AMMAN SUGARS LTD,2249,881.2
BANCOINDIA,BANCO PRODUCTS (I) LTD,241.65,90.2
BANG,BANG OVERSEAS LTD.,29.65,10.4
BANKINDIA,BANK OF INDIA,144.75,78.4
BANSWRAS,BANSWARA SYNTEX LIMITED,194.4,73
BARTRONICS,BARTRONICS INDIA LIMITED,16.3,8.2
BASF,BASF INDIA LTD,1272,697.5
BASML,BANNARI AM SPIN MILL LTD.,351,178
BATAINDIA,BATA INDIA LTD,613.65,438
BAYERCROP,BAYER CROPSCIENCE LTD,4595,3110
BBL,BHARAT BIJLEE LTD,1108.9,571.5
BBTC,BOMBAY BURMAH TRADING COR,674,310
BEDMUTHA,BEDMUTHA INDUST LTD,31,9.45
BEML,BEML LIMITED,1324.4,788
BEPL,BHANSALI ENG. POLYMERS LT,29.8,14.95
BERGEPAINT,BERGER PAINTS (I) LTD,326,214.05
BFINVEST,BF INVESTMENT LIMITED,190.8,84.2
BFUTILITIE,BF UTILITIES LIMITED,724.7,389.1
BGRENERGY,BGR ENERGY SYSTEMS LTD,139,89.05
BHAGERIA,BHAGERIA INDUSTRIES LTD,688,86.9
BHAGYNAGAR,BHAGYANAGAR INDIA LIMITED,23.5,15.05
BHARATFIN,BHARAT FIN INCLUSION LTD,939,398.1
BHARATGEAR,BHARAT GEARS LTD.,171.4,52.65
BHARATIDIL,BHARATI DEF & INFRA LTD,31.8,17.6
BHARATRAS,BHARAT RASAYAN LTD,1945,701.3
BHARATWIRE,BHARAT WIRE ROPES LTD.,49.3,38.15
BHUSANSTL,BHUSHAN STEEL LIMITED,50.85,32.3
BIGBLOC,BIGBLOC CONSTRUCTION LTD,72.6,28.6
BIL,BHARTIYA INTERNATIONAL,612.8,424.5
BILENERGY,BIL ENERGY SYSTEMS LTD,1.4,0.65
BILPOWER,BILPOWER LIMITED,1.9,0.75
BINANIIND,BINANI INDUSTRIES LTD,120.95,50
BINDALAGRO,OSWAL CHEM. & FERT. LTD.,46.45,19.7
BIOCON,BIOCON LIMITED.,1020,431
BIRLACORPN,BIRLA CORPORATION LTD,755.8,318.05
BIRLAMONEY,ADITYA BIRLA MONEY LTD,35.95,19
BLBLIMITED,BLB LIMITED,7.6,2.9
BLISSGVS,BLISS GVS PHARMA LTD,200.75,79.05
BLKASHYAP,B.L.KASHYAP & SON LTD,26.5,8.6
BLUEBLENDS,BLUE BLENDS (I) LTD,112.8,16.7
BLUECHIP,BLUE CHIP INDIA LIMITED,0.65,0.25
BLUECOAST,BLUE COAST HOTELS LIMITED,178,80.4
BLUEDART,BLUE DART EXPRESS LTD,7850,4888
BLUESTARCO,BLUE STAR LIMITED,583.9,305.6
BODALCHEM,BODAL CHEMICALS LTD,154.5,35.1
BOMDYEING,BOMBAY DYEING & MFG. CO L,71.2,39
BPL,BPL LTD,100.2,23.1
BRFL,BOMBAY RAYON FASHIONS LTD,215,128.15
BRIGADE,BRIGADE ENTER. LTD,188.9,130
BROOKS,BROOKS LAB LIMITED,174.4,61.15
BSELINFRA,BSEL INFRASTRUCTURE REALT,4.4,1.95
BSL,BSL LTD,105.35,40
BSLIMITED,BS LIMITED,38.8,4.1
BURNPUR,BURNPUR CEMENT LTD.,17.55,7
BUTTERFLY,BTRFLY GANDHI APPL LTD,307.7,138
BVCL,BARAK VALLEY CEM. LTD.,29.4,13.4
BYKE,THE BYKE HOSPITALITY LTD,200,148
CAMLINFINE,CAMLIN FINE SCIENCES LTD,121.2,76
CANBK,CANARA BANK,338.9,156
CANDC,C&C CONST. LTD.,29.55,8.1
CANFINHOME,CAN FIN HOMES LTD,1889.85,840
CANTABIL,CANTABIL RETAIL LTD,97.8,53.9
CAPF,CAPITAL FIRST LIMITED,797.4,346.2
CAPLIPOINT,CAPLIN POINT LAB LTD.,1532,290.9
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,307.3,156.1
CAREERP,CAREER POINT LIMITED,160,93.45
CARERATING,CARE LIMITED,1575,883
CASTEXTECH,CASTEX TECHNOLOGIES LTD.,30.45,4.8
CCCL,CONS. CONST. CONSORT LTD,6.5,2.35
CCHHL,COUNTRY CLUB HOSP HOL LTD,17.9,8.4
CCL,CCL PRODUCTS (I) LTD,286,154.25
CEATLTD,CEAT LIMITED,1420,730
CEBBCO,COMMERCIAL ENG & CO. LTD,30.4,11.7
CELEBRITY,CELEBRITY FASHIONS LTD,17.3,8.25
CELESTIAL,CELESTIAL BIOLABS LTD,42.55,16.6
CENTENKA,CENTURY ENKA LTD,302.55,142.65
CENTEXT,CENTURY EXTRUSIONS LTD,9.2,1.4
CENTRALBK,CENTRAL BANK OF INDIA,112.45,47.9
CENTUM,CENTUM ELECTRONICS LTD,764.95,450
CENTURYPLY,CENTURY PLYBOARDS (I) LTD,267.8,135.65
CENTURYTEX,CENTURY TEXTILES LTD,981,403
CERA,CERA SANITARYWARE LTD,2718.7,1509.95
CEREBRAINT,CEREBRA INT TECH LTD,28.75,11.5
CESC,CESC LTD,683,404.55
CGCL,CAPRI GLOBAL CAPITAL LTD,407.65,109.6
CHAMBLFERT,CHAMBAL FERTILIZERS LTD,73.4,50.65
CHEMFALKAL,CHEMFAB ALKALIS LTD,339.25,65.5
CHENNPETRO,CHENNAI PETROLEUM CORP LT,312.4,137.8
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,1243,590
CHROMATIC,CHROMATIC INDIA LTD,6.15,2.65
CIGNITITEC,CIGNITI TECHNOLOGIES LTD,515.05,368.1
CIMMCO,CIMMCO LIMITED,103.65,56.1
CINELINE,CINELINE INDIA LIMITED,74.9,14.5
CINEVISTA,CINEVISTA LIMITED,10.25,2.95
CLNINDIA,CLARIANT CHEMICALS (INDIA,840,585
CNOVAPETRO,CIL NOVA PETROCHEM LTD,49.15,24.5
COFFEEDAY,COFFEE DAY ENTERPRISE LTD,317,215.6
COMPINFO,COMPUAGE INFOCOM LTD,220.05,132.2
COMPUSOFT,COMPUCOM SOFTWARE LTD,15.5,7
CONSOFINVT,CONSO. FIN. & HOLD. LTD.,89,47.05
CONTROLPR,CONTROL PRINT LIMITED,328.5,252
CORDSCABLE,CORDS CABLE INDUS LTD.,70.8,32.7
COROMANDEL,COROMANDEL INTERNTL. LTD,281.05,145.5
CORPBANK,CORPORATION BANK,47.3,31.05
COSMOFILMS,COSMO FILMS LTD,431.9,212.6
COUNCODOS,COUNTRY CONDO'S LIMITED,9.1,2.3
COX&KINGS,COX & KINGS LIMITED,276.9,140.1
CREST,CREST VENTURES LIMITED,97.95,31.35
CRISIL,CRISIL LTD,2500,1761.25
CROMPGREAV,CROMPTON GREAVES LTD,203.8,40.3
CROMPTON,CROMPT GREA CON ELEC LTD,186.8,125
CTE,CAMBRIDGE TECH ENTER LTD,163.45,76.85
CUB,CITY UNION BANK LTD,150,77.8
CUPID,CUPID LIMITED,348.9,275
CURATECH,CURA TECHNOLOGIES LTD,9.8,3.35
CYBERTECH,CYBERTECH SYSTEMS & SOFTW,94.5,32.25
CYIENT,CYIENT LIMITED,564.7,369.25
DAAWAT,LT FOODS LIMITED,319.7,180.1
DALMIABHA,DALMIA BHARAT LIMITED,2010,602.8
DALMIASUG,DALMIA BHARAT SUG IN LTD,168,44.25
DAMODARIND,DAMODAR INDUSTRIES LTD,95,68
DATAMATICS,DATAMATICS GLOBAL SER LTD,98,40.7
DBCORP,D.B.CORP LTD,447.7,286.35
DBL,DILIP BUILDCON LIMITED,259,215.55
DBREALTY,D B REALTY LIMITED,69.2,35.8
DBSTOCKBRO,DB (INT) STOCK BROKERS,24.8,16.25
DCBBANK,DCB BANK LIMITED,131.55,68.4
DCM,DCM LTD,148.05,66
DCMSHRIRAM,DCM SHRIRAM LIMITED,269.55,106.65
DCW,DCW LTD,39.9,18.75
DECCANCE,DECCAN CEMENTS LIMITED,1188,483.05
DEEPAKFERT,DEEPAK FERTILIZERS & PETR,254,127.1
DEEPAKNTR,DEEPAK NITRITE LTD,134,56
DEEPIND,DEEP INDUSTRIES LTD,271.85,117.35
DELTACORP,DELTA CORP LIMITED,186.7,49.15
DEN,DEN NETWORKS LTD,125.8,60.05
DENABANK,DENA BANK,47.7,25.6
DENORA,DE NORA INDIA LIMITED,467.95,169
DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,137.5,46.8
DHANBANK,DHANLAXMI BANK LIMITED,30.1,16.8
DHANUKA,DHANUKA AGRITECH LTD,777,408
DHARSUGAR,DHARANI SUGARS & CHEMICAL,70.75,11.5
DHFL,DEWAN HOUSING FIN CORP LT,336.2,140.3
DHUNINV,DHUNSERI INVESTMENTS LTD,159,115.1
DIAPOWER,DIAMOND POWER INFRA LTD,63.05,21.9
DICIND,DIC INDIA LIMITED,750,491
DIGJAMLTD,DIGJAM LIMITED,16.95,9.1
DISHMAN,DISHMAN PHARMA & CHEM LTD,419.8,127.95
DISHTV,DISH TV INDIA LTD.,111.9,65.2
DLINKINDIA,D-LINK INDIA LTD,195,74.4
DOLPHINOFF,DOLPHIN OFF. ENT IND LTD.,139.4,66.6
DONEAR,DONEAR IND. LIMITED,70.8,12.25
DPL,DHUNSERI PETROCHEM LTD,104.65,66.2
DPSCLTD,DPSC LIMITED,41.05,10.1
DQE,DQ ENTERTAINMENT INT LTD,47.6,17.95
DREDGECORP,DREDGING CORP OF INDIA,466,290
DSKULKARNI,D S KULKARNI DEVELOPERS L,124.8,64.3
DSSL,DYNACONS SYS & SOLN LTD,21.15,9.05
DTIL,DHUNSERI TEA & IND. LTD.,354.9,210.35
DUCON,DUCON INFRATECHNOLOGIES L,62.15,12.6
DWARKESH,DWARIKESH SUGAR IND LTD,379.4,53
DYNAMATECH,DYNAMATIC TECHNOLOGIES,3389,1450
EASTSILK,EASTERN SILK INDUSTRIES L,4,1.8
EASUNREYRL,EASUN REYROLLE LTD,58.9,27.55
ECEIND,ECE INDUSTRIES LTD.,376.9,125.05
ECLERX,ECLERX SERVICES LTD,1989,1105.3
EDELWEISS,EDELWEISS FIN SERV LTD,128.8,44.35
EDL,EMPEE DISTI. LTD.,115.45,42.15
EDUCOMP,EDUCOMP SOLUTIONS LTD,18.3,10.1
EIDPARRY,EID PARRY INDIA LTD,278.35,147.8
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD,379,201
EIHOTEL,EIH LIMITED,137.5,100.1
EKC,EVEREST KANTO CYLINDERLTD,41.3,8
ELAND,E-LAND APPAREL LIMITED,62.8,21.8
ELECON,ELECON ENG. CO. LTD,92.85,42.55
ELECTCAST,ELECTROSTEEL CASTINGS LTD,28.95,16.8
ELECTHERM,ELECTROTHERM (I) LTD.,197,32.1
ELGIEQUIP,ELGI EQUIPMENTS LTD,204,118.2
ELGIRUBCO,ELGI RUBBER CO. LTD,47.45,23.6
EMAMIINFRA,EMAMI INFRASTRUCTURE LTD,90.4,30.1
EMCO,EMCO LIMITED,37.35,21.7
EMKAY,EMKAY GLOBAL FIN SERV LTD,88.5,46
EMMBI,EMMBI INDUSTRIES LIMITED,137,44.6
ENDURANCE,ENDURANCE TECHNO. LTD.,674.5,572
ENERGYDEV,ENERGY DEVE. CO.LTD,245.85,31.3
ENGINERSIN,ENGINEERS INDIA LTD,276.15,143.1
ENIL,ENTERTAIN NET. IND. LTD.,905,587
EON,EON ELECTRIC LIMITED,91.8,35
EQUITAS,EQUITAS HOLDINGS LIMITED,206.25,134.3
EROSMEDIA,EROS INTL MEDIA LTD,473,125.75
ESABINDIA,ESAB INDIA LTD,688.95,438.05
ESCORTS,ESCORTS INDIA LTD,414.4,112.8
ESL,ELECTROSTEEL STEELS LTD,4.5,2.45
ESSARSHPNG,ESSAR SHIPPING LTD,38.1,19.5
ESSELPACK,ESSEL PROPACK LTD,250,132
ESTER,ESTER INDUSTRIES LTD,108.15,33.75
EUROCERA,EURO CERAMICS LTD,10.1,2.3
EUROTEXIND,EUROTEX INDUSTRIES LTD,41.3,21
EVEREADY,EVEREADY INDS. IND.  LTD.,318.5,192.25
EVERESTIND,EVEREST INDUSTRIES LTD,364.7,192.05
EVERONN,EVERONN EDUCATION LIMITED,36.3,17
EXCEL,EXCEL REALTY N INFRA LTD,55.7,23.5
EXCELCROP,EXCEL CROP CARE LTD,1760.05,782.4
EXCELINDUS,EXCEL INDUSTRIES LTD,466.7,138.7
EXIDEIND,EXIDE INDUSTRIES LTD,205,116
FACT,FACT LTD,28.7,18.6
FAGBEARING,FAG BEARINGS INDIA LTD,4425,3700
FARMAXIND,FARMAX INDIA LTD,0.35,0.05
FCEL,FUTURE CONSUMER ENT LTD,27.25,16.55
FCL,FINEOTEX CHEMICAL LIMITED,38,20.25
FCSSOFT,FCS SOFTWARE SOLN. LTD.,0.6,0.25
FDC,FDC LIMITED,269.4,165
FEDDERLOYD,FEDDERS LLOYDS CORPORATIO,109.2,58.15
FEDERALBNK,FEDERAL BANK LTD,76.65,41.35
FEL,FUTURE ENTERPRISES LTD,172.95,15.45
FELDVR,FUTURE ENTERPRISES LTD,144.2,12.45
FIEMIND,FIEM INDUSTRIES LIMITED,1510,581.55
FILATEX,FILATEX INDIA LTD,87.7,32.75
FINANTECH,FINANCIAL TECHNO (I) LTD,134.35,70.65
FINCABLES,FINOLEX CABLES LTD,458.95,202.2
